Strategy,building_id,cold_start,mae,rmse,cvrmse,wape
Fed-SimTL,196,False,6.859830856323242,8.819594104795291,21.888647,17.024866
Fed-SimTL,212,True,587.37158203125,589.1135554797564,63.299553,63.112385
Fed-SimTL,216,True,53.31450653076172,60.37255551146046,41.331757,36.499733
Fed-SimTL,228,False,3.6424593925476074,4.838021514933049,16.069473,12.098417
Fed-SimTL,231,False,22.857276916503906,23.03273665910789,29.481564,29.256979
Fed-SimTL,236,False,13.441637992858887,15.080885433844726,26.747778,23.840376
Fed-SimTL,266,False,20.205427169799805,25.484547439637318,34.4137,27.284904
Fed-SimTL,294,False,15.922172546386719,19.25937969028825,33.308296,27.536732
Fed-SimTL,301,False,5.0651373863220215,5.731195633858147,16.228315,14.342321
Fed-SimTL,313,False,17.667057037353516,24.468527996278965,43.414394,31.346575
Fed-SimTL,327,False,54.0186653137207,56.30386960433426,39.09074,37.50416
Fed-SimTL,331,False,111.8922119140625,221.0344288793038,128.21248,64.90382
Fed-SimTL,356,False,9.83515739440918,10.172731893750514,1007.0268,973.60925
Fed-SimTL,400,True,2.477999687194824,3.1432704127443882,14.235929,11.222905
Fed-SimTL,468,False,10.677224159240723,13.144492941994699,26.25974,21.330694
Fed-SimTL,474,True,3.4285449981689453,4.014895599262032,31.483469,26.885504
Fed-SimTL,480,False,3.4252007007598877,4.025614503190277,23.512306,20.005484
Fed-SimTL,503,False,6.570641040802002,7.034860184289379,56.083412,52.382553
Fed-SimTL,519,False,621.8638305664062,643.4138685558464,66.18801,63.97116
Fed-SimTL,524,False,54.25930404663086,55.88130251437528,39.221207,38.08278
Fed-SimTL,539,True,7.657632827758789,8.012134409165098,143.76787,137.40677
Fed-SimTL,540,False,93.61444091796875,97.04769888758311,44.480167,42.90659
Fed-SimTL,545,False,26.494922637939453,28.940558187483617,33.351322,30.532953
Fed-SimTL,548,False,3.408320426940918,4.344151320545911,23.706633,18.599672
Fed-SimTL,879,True,108.2856674194336,109.4927758747124,44.737186,44.24398
Fed-SimTL,892,False,48.11703872680664,50.40945142499321,38.357758,36.61341
Fed-SimTL,901,True,59.23918151855469,60.795210479013065,38.001358,37.02873
Fed-SimTL,907,False,18.389671325683594,19.519295560289102,27.66046,26.05969
Fed-SimTL,908,False,35.14546203613281,39.351063843128024,36.387318,32.498463
Fed-SimTL,936,False,7.696526527404785,8.042663775938477,61.54511,58.89636
Fed-SimTL,947,True,17.484071731567383,18.260052146544687,27.4326,26.266823
Fed-SimTL,952,False,59.66792297363281,61.456672602914935,38.220314,37.10788
Fed-SimTL,1087,True,7.008934020996094,7.974114979393629,32.90624,28.92329
Fed-SimTL,1091,False,92.84154510498047,98.05292436517384,46.517612,44.045265
Fed-SimTL,1093,True,6.988099575042725,7.964956540014903,34.700863,30.444998
Fed-SimTL,1128,False,23.18796157836914,24.28523133382715,29.953033,28.599676
Fed-SimTL,1141,False,5.008543014526367,5.6564398464989045,26.538404,23.498657
Fed-SimTL,1152,False,202.54049682617188,205.30232090444082,52.57741,51.87012
Fed-SimTL,1154,False,141.48562622070312,147.75785194872049,49.778584,47.665516
Fed-SimTL,1158,False,105.21150207519531,116.42954045526848,49.726315,44.93516
Fed-SimTL,1167,False,24.670764923095703,31.049644834296213,42.067772,33.425312
Fed-SimTL,1191,False,234.6590576171875,243.42067496414515,55.439472,53.444004
Fed-SimTL,1193,False,21.87287712097168,35.558701672705055,48.77023,29.99956
Fed-SimTL,1211,False,13.924124717712402,19.69156936490168,34.947506,24.711761
Fed-SimTL,1215,False,27.809547424316406,30.405824444606825,33.38944,30.538399
Fed-SimTL,1218,False,135.8350067138672,166.59425705700363,58.52124,47.716133
Fed-SimTL,1220,True,187.92074584960938,218.87150197090529,59.845615,51.382805
Fed-SimTL,1235,False,140.35496520996094,151.60364132335346,51.326252,47.517952
Fed-SimTL,1255,False,7.876957893371582,9.05422659121358,22.281422,19.384298
Fed-SimTL,1262,False,32.5808219909668,39.72044953582632,40.974766,33.60968
Fed-SimTL,1267,False,93.16954803466797,99.46183804134378,46.511627,43.569145
Fed-SimTL,1268,False,10.4983549118042,12.177187894965606,28.977507,24.982462
Fed-SimTL,1293,False,26.562894821166992,27.71917387112495,32.792137,31.424246
Fed-SimTL,1317,False,192.98403930664062,199.84341526555235,52.5079,50.70563
Fed-SimTL,1334,False,35.143802642822266,37.5215253976176,36.309223,34.00832
Fed-SimTL,1341,False,7.57632303237915,8.194705966145584,70.186844,64.89046
Fed-SimTL,1375,True,47.47077178955078,48.324768009013766,38.10688,37.433453
Fed-SimTL,1407,False,30.79619026184082,34.87446446161396,37.266777,32.908745
Fed-SimTL,1419,False,5.0176897048950195,5.480051972358563,56.55349,51.781963
Fed-SimTL,1447,False,76.21376037597656,77.6988250997079,41.853912,41.053955
