Model,Seed,Strategy,Overall,Warm,Cold,CVRMSE (%)
LSTM,42,C. Centralized-LightGBM,0.012084708622885848,0.009607359114394504,0.02199410665685124,1.9602501387560374
LSTM,42,C. Centralized-XGBoost,0.023389920765076788,0.021870744373697112,0.029466626330595505,3.5479193407607785
LSTM,42,0. Local-only-LightGBM,0.033871460633307655,0.02634294638578481,0.06398551762339909,5.134588651007319
LSTM,42,0. Local-only-XGBoost,0.08058271832296339,0.08420047172511515,0.0661117047143563,10.069814369199774
