days,strategy,overall_mae_raw,warm_mae_raw,cold_mae_raw,overall_cvrmse_raw,cold_cvrmse_raw,overall_wape_raw,cold_wape_raw
3,1. FTL,67.62465063730876,61.23531033595403,93.18201184272766,76.77973175048828,61.49752426147461,71.35888671875,57.48917770385742
3,2. Personalized-FL,29.457676599423092,25.667391476531822,44.61881709098816,41.175743103027344,35.372718811035156,36.017887115478516,31.130416870117188
3,3. Progressive Unfreezing,49.70385072628657,44.68320572376251,69.7864307363828,76.79762268066406,64.20232391357422,72.40351867675781,61.24142074584961
3,4. Instance-TL,51.77118571599325,45.48273619016012,76.92498381932576,53.14346694946289,46.84364700317383,48.36342239379883,43.27833557128906
3,5. Fed-SimTL,57.201084144910176,51.43556368350983,80.26316599051158,69.12742614746094,56.85650634765625,64.3583755493164,53.5277214050293
3,6. FedMetaTL,55.01341708898544,49.85307780404886,75.6547742287318,60.3002815246582,45.265628814697266,55.385231018066406,41.84688186645508
7,1. FTL,67.62465063730876,61.23531033595403,93.18201184272766,76.77973175048828,61.49752426147461,71.35888671875,57.48917770385742
7,2. Personalized-FL,29.457676599423092,25.667391476531822,44.61881709098816,41.175743103027344,35.372718811035156,36.017887115478516,31.130416870117188
7,3. Progressive Unfreezing,49.70385072628657,44.68320572376251,69.7864307363828,76.79762268066406,64.20232391357422,72.40351867675781,61.24142074584961
7,4. Instance-TL,51.77118571599325,45.48273619016012,76.92498381932576,53.14346694946289,46.84364700317383,48.36342239379883,43.27833557128906
7,5. Fed-SimTL,57.201084144910176,51.43556368350983,80.26316599051158,69.12742614746094,56.85650634765625,64.3583755493164,53.5277214050293
7,6. FedMetaTL,55.01341708898544,49.85307780404886,75.6547742287318,60.3002815246582,45.265628814697266,55.385231018066406,41.84688186645508
14,1. FTL,67.10460592508316,60.89749921361605,91.93303277095158,67.39881134033203,52.81184387207031,62.16914367675781,49.16580581665039
14,2. Personalized-FL,28.764634152253468,25.32832225660483,42.50988173484802,40.8306884765625,35.15128707885742,35.61545181274414,31.197370529174805
14,3. Progressive Unfreezing,51.097141579786935,45.98368074993292,71.55098489920299,71.62309265136719,60.12050247192383,67.19080352783203,57.016597747802734
14,4. Instance-TL,52.42841361363729,46.25151377916336,77.136012951533,55.96288299560547,49.63249206542969,50.95220184326172,45.78740310668945
14,5. Fed-SimTL,56.82413822015126,51.14596498012543,79.53683118025462,70.8942642211914,57.40509033203125,65.93169403076172,53.93025588989258
14,6. FedMetaTL,55.70161267518997,50.65113836526871,75.90350991487503,61.56346130371094,45.63542556762695,56.35786819458008,41.836055755615234
21,1. FTL,69.82753484646479,63.35989673435688,95.69808729489644,74.65471649169922,59.17252731323242,69.46794128417969,55.63563537597656
21,2. Personalized-FL,30.898713636398316,26.74940092364947,47.4959644873937,43.32069396972656,39.42949295043945,38.11894607543945,35.486061096191406
21,3. Progressive Unfreezing,52.287217883268994,47.02157533168793,73.34978808959325,75.99004364013672,63.23051452636719,71.36962890625,60.07918930053711
21,4. Instance-TL,53.68893259366353,47.46886384487152,78.56920758883159,60.347755432128906,53.0458984375,55.52440643310547,49.51045608520508
21,5. Fed-SimTL,59.883470209439594,53.817015339930855,84.14928968747456,80.06035614013672,65.81797790527344,75.42617797851562,62.810062408447266
21,6. FedMetaTL,55.28303980429967,49.98767959574858,76.46448063850403,60.23783493041992,45.74751663208008,55.39646911621094,42.482460021972656
30,1. FTL,69.4586582740148,62.899067083994545,95.69702303409576,77.98644256591797,62.89031982421875,72.57332611083984,59.01626205444336
30,2. Personalized-FL,29.074855828285216,26.165081252654392,40.71395413080851,45.34841537475586,39.069583892822266,40.2650032043457,34.901729583740234
30,3. Progressive Unfreezing,52.601145553588864,47.38481776913007,73.46645669142406,70.27283477783203,57.93928909301758,65.71419525146484,54.73677444458008
30,4. Instance-TL,51.745164489746095,45.68399876356125,75.98982739448547,57.65279006958008,51.013858795166016,52.497440338134766,47.075496673583984
30,5. Fed-SimTL,59.34908311764399,53.44676265120506,82.9583649833997,68.92896270751953,55.34019088745117,63.990726470947266,51.91836929321289
