model,seed,curve_index,strategy_raw,strategy,epochs_ran,requested_epochs,stopped_early,final_train_loss,final_val_loss,best_val_loss,n_train_points,n_val_points
PatchTST,42,0,Pretrain-PatchTST,Pretrain,5,,,0.05907254113781209,,,5,5
PatchTST,42,1,FTL,1. FTL,10,,,0.07966891746856979,0.06425837263464927,0.030348146855831145,10,10
PatchTST,42,2,FTL,1. FTL,10,,,0.02738818172920687,0.07054496765136718,0.05264239698648453,10,10
PatchTST,42,3,FTL,1. FTL,10,,,0.005685913144941455,0.01644506920129061,0.009750519283115863,10,10
PatchTST,42,4,FTL,1. FTL,10,,,0.01267865701984907,0.02279368683695793,0.01496813729405403,10,10
PatchTST,42,5,FTL,1. FTL,10,,,0.0029903232103572065,0.0036352676060050727,0.0036352676060050727,10,10
PatchTST,42,6,FTL,1. FTL,10,,,0.0033858923568342355,0.009404341727495193,0.005008572321385145,10,10
PatchTST,42,7,FTL,1. FTL,10,,,0.003091392550884991,0.007894936800003052,0.004524596035480499,10,10
PatchTST,42,8,FTL,1. FTL,10,,,0.0020894126444146403,0.005177375450730323,0.002276653852313757,10,10
PatchTST,42,9,FTL,1. FTL,10,,,0.006340986879941247,0.01451570264995098,0.011586734615266324,10,10
PatchTST,42,10,FTL,1. FTL,10,,,0.027227974469018822,0.08660723149776459,0.07059069603681564,10,10
PatchTST,42,11,FTL,1. FTL,10,,,0.04450326352847139,1.4898805160820485,1.3323969769477844,10,10
PatchTST,42,12,FTL,1. FTL,10,,,0.012862596418557129,0.01743713639676571,0.015350705161690712,10,10
PatchTST,42,13,FTL,1. FTL,10,,,0.04233542668600352,0.005929742506705225,0.005929742506705225,10,10
PatchTST,42,14,FTL,1. FTL,10,,,0.005653404122152868,0.011479733251035214,0.00968741113319993,10,10
PatchTST,42,15,FTL,1. FTL,10,,,0.023855987562719724,0.09223746746778488,0.07105645477771759,10,10
PatchTST,42,16,FTL,1. FTL,10,,,0.005552490703070026,0.0029451319947838782,0.0029451319947838782,10,10
