Strategy,Overall MAE,Warm MAE,Cold MAE,RMSE,CVRMSE (%),WAPE (%)
Centralized,14.606430677572886,14.147754867871603,16.44113391637802,19.92489277006602,28.432340621948242,21.816272735595703
Local-only,38.368914998074374,27.279879294956725,82.72505781054497,49.08380089571788,37.14753341674805,28.59223175048828
Personalized FL,45.08642657200495,29.173101877172787,108.73972535133362,51.07177988855183,50.58940505981445,45.923072814941406
FTL,45.44811274210612,41.309002339839935,62.00455435117086,50.88599904367882,90.65400695800781,82.78642272949219
Instance-based TL,48.212911836306255,41.74685210982958,74.07715074221294,53.89832596955253,100.93408966064453,96.65010833740234
FedMetaTL,64.88021022478739,58.58884667356809,90.04566442966461,70.97859385942857,71.19650268554688,66.15569305419922
Progressive Unfreezing,67.13376726309458,60.33202631274859,94.34073106447856,73.38667917439061,75.50645446777344,70.3045425415039
Fed-SimTL,67.4534613251686,61.63666544854641,90.72064483165741,73.51219818628505,58.77457046508789,53.414554595947266
FedAvg (No Pretrain),98.58510073026021,90.73931929469109,129.9682264725367,105.4607597391611,109.97396087646484,103.76190948486328
