Model family,Seed,Training case,Estimator,Eval buildings,Warm buildings,Cold buildings,Overall MAE,Warm MAE,Cold MAE,Overall CVRMSE (%),Overall WAPE (%)
LSTM,42,Centralized global,LightGBM,60,48,12,0.012084708622885848,0.009607359114394504,0.02199410665685124,1.9602501387560374,1.3650085808607433
LSTM,42,Centralized global,XGBoost,60,48,12,0.0227272220780168,0.02121017921875502,0.02879539351506394,3.6008163243088185,2.3593285223579286
LSTM,42,Centralized global,LSTM,60,48,12,0.1113466226806243,0.11041442813196527,0.1150754008752604,17.374294589999998,12.646476956666666
LSTM,42,Local-only,LightGBM,60,48,12,0.033871460633307655,0.02634294638578481,0.06398551762339909,5.134588651007319,3.042595962183507
LSTM,42,Local-only,XGBoost,60,48,12,0.08030338696085777,0.08386431632807578,0.0660596694919857,10.061996585547616,6.269181137490859
LSTM,42,Local-only,LSTM,60,48,12,0.33222297467291356,0.24380872778904936,0.6858799622083703,30.446616195,22.53785740333333
