strategy,pretrain_frac,pretrain_rows,metric_scale,overall_mae,warm_mae,cold_mae,cvrmse,wape
FTL,0.1,28131,log_target,0.6946158789719145,0.6663207419527074,0.8077964270487428,223.87939453125,219.08309936523438
FTL,0.25,70329,log_target,0.6015527547026674,0.5776617244506875,0.6971168757105867,161.86778259277344,156.33087158203125
FTL,0.5,140659,log_target,0.5655064596484105,0.5440974697315445,0.6511424193158746,135.2439422607422,128.2624969482422
FTL,0.75,210988,log_target,0.3751865232984225,0.3719334665996333,0.3881987500935793,56.75045394897461,48.531925201416016
FTL,1.0,281318,log_target,0.4592389758055409,0.4502056047009925,0.4953724602237344,87.48490142822266,77.72016906738281
