days,overall_mae_log1p,warm_mae_log1p,cold_mae_log1p,overall_cvrmse_raw,cold_cvrmse_raw,overall_wape_raw,cold_wape_raw,cold_train_rows_min,cold_train_rows_mean
3,0.5043167058378458,0.48747900081798434,0.5716675259172916,84.463104,69.27844,78.88729,65.34818,300,300.0
7,0.5043167058378458,0.48747900081798434,0.5716675259172916,84.463104,69.27844,78.88729,65.34818,300,300.0
14,0.5114633181442817,0.4948425337982674,0.5779464555283388,84.51045,69.157646,79.02372,65.28542,336,336.0
21,0.4971892031530539,0.4790013773987691,0.5699405061701933,82.57083,67.92836,77.11754,64.040695,504,504.0
30,0.49464282679061095,0.4797907848842442,0.554050994416078,80.04557,64.34264,74.643295,60.555664,716,718.8333333333334
45,0.5179097883403301,0.503066391373674,0.5772833762069544,82.727516,66.67385,77.11888,62.646927,942,1067.1666666666667
60,0.5251817846049865,0.5076679567185541,0.5952370961507162,86.14314,70.66448,80.84748,67.074814,942,1396.75
