Strategy,building_id,cold_start,mae,rmse,cvrmse,wape
Centralized,196,False,6.622668743133545,8.368537800999515,20.769207,16.436274
Centralized,212,True,50.872291564941406,56.95133742050642,6.1193542,5.466168
Centralized,216,True,17.315553665161133,22.829227867353097,15.629156,11.85443
Centralized,228,False,5.41914701461792,6.982063201015066,23.190903,17.99968
Centralized,231,False,5.30655574798584,6.593430931724091,8.439495,6.7923126
Centralized,236,False,5.442465782165527,6.754777418601853,11.980416,9.652873
Centralized,266,False,10.7682523727417,13.694764878704849,18.49307,14.541181
Centralized,294,False,9.931221961975098,12.550838390781847,21.70615,17.175632
Centralized,301,False,6.696374416351318,7.892603016308807,22.348505,18.961292
Centralized,313,False,10.693530082702637,15.121912617487826,26.830736,18.973478
Centralized,327,False,12.213480949401855,14.957724952899808,10.384872,8.479594
Centralized,331,False,56.02519607543945,122.5748615324019,71.10036,32.497784
Centralized,356,False,3.5784544944763184,4.735202226036388,468.7507,354.24106
Centralized,400,True,5.12610387802124,6.129231762189199,27.759403,23.216217
Centralized,468,False,9.586336135864258,11.302201952802543,22.579258,19.151344
Centralized,474,True,3.684122323989868,4.428667546472936,34.72813,28.889656
Centralized,480,False,4.410731792449951,5.595141871667502,32.679405,25.761648
Centralized,503,False,3.685985803604126,4.997008954913269,39.837223,29.385468
Centralized,519,False,70.60664367675781,97.22532925342809,10.001573,7.263308
Centralized,524,False,11.79110050201416,14.076551681820963,9.879858,8.275776
Centralized,539,True,5.236451625823975,6.231722542341449,111.820564,93.96166
Centralized,540,False,20.04120635986328,24.72740297742188,11.333386,9.185548
Centralized,545,False,10.195937156677246,12.212495651947153,14.073774,11.749877
Centralized,548,False,4.467028617858887,5.71851752804045,31.206736,24.377188
Centralized,879,True,18.475847244262695,25.905951964133045,10.584803,7.5489683
Centralized,892,False,10.621975898742676,13.021910762714871,9.908685,8.082517
Centralized,901,True,10.602170944213867,13.180769373386898,8.238924,6.627116
Centralized,907,False,6.784604549407959,8.506528703214565,12.054458,9.6143465
Centralized,908,False,11.218090057373047,14.983710026629232,13.855204,10.373194
Centralized,936,False,2.2357735633850098,3.0223378786539703,23.127924,17.108875
Centralized,947,True,5.995523452758789,7.600084464959039,11.417824,9.007247
Centralized,952,False,11.20682430267334,14.359803235929432,8.930457,6.969599
Centralized,1087,True,6.211210250854492,8.148002108154623,33.623802,25.631376
Centralized,1091,False,17.787954330444336,22.707378999681055,10.772683,8.438842
Centralized,1093,True,9.685395240783691,11.220017895471782,48.88216,42.196285
Centralized,1128,False,7.820533752441406,9.716922698620023,11.984704,9.645726
Centralized,1141,False,6.0855793952941895,7.607121253286754,35.69045,28.551805
Centralized,1152,False,15.768068313598633,21.819655854110003,5.58796,4.038163
Centralized,1154,False,20.12860107421875,28.2397798939197,9.513783,6.7811847
Centralized,1158,False,21.281455993652344,27.877671186475567,11.906375,9.089173
Centralized,1167,False,14.436272621154785,19.720917354393737,26.718987,19.55906
Centralized,1191,False,25.760669708251953,35.349791910079716,8.050975,5.8670363
Centralized,1193,False,16.042753219604492,19.738112336626347,27.071636,22.003302
Centralized,1211,False,10.941225051879883,13.335000378980942,23.666218,19.41788
Centralized,1215,False,9.994536399841309,13.7465122307712,15.095408,10.975264
Centralized,1218,False,46.459903717041016,64.00926904314328,22.485182,16.320438
Centralized,1220,True,55.16559982299805,71.40293003770049,19.523565,15.083822
Centralized,1235,False,31.116270065307617,45.080842368270055,15.26237,10.534586
Centralized,1255,False,5.545799732208252,7.100423622925607,17.473333,13.647583
Centralized,1262,False,13.136953353881836,16.938590039301715,17.473484,13.551799
Centralized,1267,False,22.17180824279785,32.52603937316512,15.210245,10.368267
Centralized,1268,False,8.609362602233887,10.745534279783756,25.570663,20.487314
Centralized,1293,False,7.776262283325195,11.780887992821851,13.936941,9.199418
Centralized,1317,False,31.99039649963379,46.722428784926194,12.2760935,8.405323
Centralized,1334,False,8.765725135803223,11.055875874729322,10.698665,8.482509
Centralized,1341,False,4.037072658538818,4.628851240772823,39.645653,34.57713
Centralized,1375,True,8.92333698272705,11.02541743934959,8.6941805,7.036568
Centralized,1407,False,10.374645233154297,13.408383357537751,14.32817,11.086324
Centralized,1419,False,2.157294988632202,2.667322753623391,27.526453,22.263027
Centralized,1447,False,11.353503227233887,13.941235507850498,7.5097055,6.115775
