Strategy,building_id,cold_start,mae,rmse,cvrmse,wape
Personalized-FL,196,False,6.326207160949707,8.00846129231501,19.87556,15.700509
Personalized-FL,212,True,679.3519897460938,680.9494061602521,73.16721,72.99557
Personalized-FL,216,True,63.01303482055664,71.59036029731936,49.011597,43.13946
Personalized-FL,228,False,11.804777145385742,12.828817852977835,42.61088,39.20953
Personalized-FL,231,False,7.570297718048096,8.342994684328547,10.67891,9.68987
Personalized-FL,236,False,10.693172454833984,12.72928267622225,22.576925,18.965637
Personalized-FL,266,False,15.001347541809082,18.904780256663507,25.528543,20.257446
Personalized-FL,294,False,20.344636917114258,24.106695158499925,41.691525,35.1852
Personalized-FL,301,False,3.0765485763549805,3.8104366284586746,10.789541,8.711481
Personalized-FL,313,False,16.952396392822266,22.54340025416599,39.998646,30.078554
Personalized-FL,327,False,9.748797416687012,13.199616420836879,9.16425,6.7684097
Personalized-FL,331,False,91.55341339111328,175.47575397864802,101.785866,53.10616
Personalized-FL,356,False,8.931608200073242,8.965970874814804,887.5661,884.1644
Personalized-FL,400,True,7.823629379272461,8.357298405914905,37.850357,35.433357
Personalized-FL,468,False,5.746835708618164,7.865023393929643,15.712549,11.4808855
Personalized-FL,474,True,12.601466178894043,12.950458910259826,101.55317,98.81649
Personalized-FL,480,False,3.196214437484741,4.214660923398079,24.616465,18.668049
Personalized-FL,503,False,0.7418559789657593,0.9591309849067493,7.6463976,5.9142346
Personalized-FL,519,False,384.2324523925781,403.92863695212304,41.552155,39.526005
Personalized-FL,524,False,8.438462257385254,10.725460698830071,7.52784,5.922673
Personalized-FL,539,True,18.37887191772461,18.610766406053866,333.94724,329.78616
Personalized-FL,540,False,29.029678344726562,36.28223916610233,16.629349,13.305261
Personalized-FL,545,False,21.262454986572266,23.7528202992396,27.372936,24.503017
Personalized-FL,548,False,4.308382987976074,5.92926450082571,32.356815,23.511438
Personalized-FL,879,True,129.80093383789062,130.85397843350046,53.46507,53.034813
Personalized-FL,892,False,24.622940063476562,28.49838412873998,21.685104,18.736187
Personalized-FL,901,True,71.1454849243164,73.03702306557442,45.65337,44.471024
Personalized-FL,907,False,7.312842845916748,9.118739240403393,12.922009,10.362905
Personalized-FL,908,False,26.612354278564453,31.06169142716485,28.722263,24.60803
Personalized-FL,936,False,2.8137691020965576,3.135252955694549,23.991987,21.531887
Personalized-FL,947,True,14.823007583618164,15.854075661730981,23.818033,22.269028
Personalized-FL,952,False,24.417020797729492,26.511950982941165,16.487959,15.185109
Personalized-FL,1087,True,11.681414604187012,12.955476075836136,53.462482,48.2049
Personalized-FL,1091,False,45.45591735839844,51.349529403119895,24.360899,21.564892
Personalized-FL,1093,True,14.274022102355957,15.498595143303008,67.522606,62.187515
Personalized-FL,1128,False,16.161226272583008,18.079104068129315,22.298489,19.93301
Personalized-FL,1141,False,2.884906768798828,3.9900331301735843,18.720098,13.535161
Personalized-FL,1152,False,45.20295333862305,51.694712125310744,13.238888,11.5763645
Personalized-FL,1154,False,41.482337951660156,51.38831136476344,17.31236,13.975109
Personalized-FL,1158,False,27.387271881103516,32.00205796299962,13.667874,11.69693
Personalized-FL,1167,False,26.32980728149414,33.37285844311306,45.215393,35.673077
Personalized-FL,1191,False,77.86333465576172,92.71979271405594,21.117092,17.733507
Personalized-FL,1193,False,20.794797897338867,29.17135925327433,40.009727,28.520927
Personalized-FL,1211,False,13.186881065368652,16.092454817422396,28.559998,23.403345
Personalized-FL,1215,False,7.143435955047607,11.59464624441829,12.732387,7.844395
Personalized-FL,1218,False,62.93940734863281,91.50305771017983,32.143204,22.109362
Personalized-FL,1220,True,229.02015686035156,260.3982526823097,71.200195,62.620537
Personalized-FL,1235,False,70.13622283935547,83.90792014166482,28.407494,23.745008
Personalized-FL,1255,False,15.046453475952148,16.623907756061186,40.909542,37.02761
Personalized-FL,1262,False,21.71210289001465,26.116163885863507,26.940874,22.39774
Personalized-FL,1267,False,56.43292236328125,64.5981304453252,30.20821,26.38989
Personalized-FL,1268,False,10.5943021774292,12.239461920386285,29.1257,25.210783
Personalized-FL,1293,False,17.042308807373047,19.710407989320483,23.317665,20.16127
Personalized-FL,1317,False,32.48335647583008,45.2904876490017,11.899858,8.534845
Personalized-FL,1334,False,7.724275588989258,9.726484453125627,9.412226,7.474707
Personalized-FL,1341,False,5.3399882316589355,5.726281381657215,49.045033,45.73647
Personalized-FL,1375,True,52.96269226074219,54.12446097090137,42.68027,41.764153
Personalized-FL,1407,False,12.357025146484375,18.17142156033582,19.417942,13.204691
Personalized-FL,1419,False,1.7806156873703003,2.2498245170826134,23.217922,18.375742
Personalized-FL,1447,False,18.088571548461914,20.908766431137803,11.262895,9.743745
