days,overall_mae,cold_mae,warm_mae,overall_cvrmse,cold_cvrmse,warm_cvrmse
3,0.21332225458075602,0.2667960977802674,0.1999537937808782,27.035767,30.377565,26.200317
7,0.2476931576927503,0.31034046535690624,0.23203133077671131,42.47283,39.173122,43.29776
14,0.2796383909881115,0.3318920377641916,0.26657497929409146,46.609447,43.053402,47.49846
21,0.27095854937409364,0.33996309743573266,0.2537074123586838,42.55652,44.25363,42.13224
30,0.2031712869182229,0.25230075791478157,0.19088891916908324,30.280499,31.926344,29.86904
45,0.27860438792655867,0.3494261037558317,0.26089895896924037,44.90137,49.303608,43.80081
60,0.2656932127972444,0.32635146100074053,0.2505286507463704,51.11847,43.476772,53.02889
