Strategy,Overall MAE,Warm MAE,Cold MAE,RMSE,CVRMSE (%),WAPE (%)
Personalized FL,45.08642657200495,29.173101877172787,108.73972535133362,51.07177988855183,50.58940505981445,45.923072814941406
FTL,45.44811274210612,41.309002339839935,62.00455435117086,50.88599904367882,90.65400695800781,82.78642272949219
Instance-based TL,48.212911836306255,41.74685210982958,74.07715074221294,53.89832596955253,100.93408966064453,96.65010833740234
FedMetaTL,64.88021022478739,58.58884667356809,90.04566442966461,70.97859385942857,71.19650268554688,66.15569305419922
Progressive Unfreezing,67.13376726309458,60.33202631274859,94.34073106447856,73.38667917439061,75.50645446777344,70.3045425415039
Fed-SimTL,67.4534613251686,61.63666544854641,90.72064483165741,73.51219818628505,58.77457046508789,53.414554595947266
