Strategy,building_id,cold_start,mae,rmse,cvrmse,wape
Progressive Unfreezing,196,False,6.685179710388184,8.377237505009155,20.790798,16.591415
Progressive Unfreezing,212,True,642.3126220703125,643.9309211786618,69.18962,69.01573
Progressive Unfreezing,216,True,46.633384704589844,54.264617216383506,37.150192,31.925762
Progressive Unfreezing,228,False,10.57078742980957,11.492210071782727,38.17134,35.11084
Progressive Unfreezing,231,False,9.882726669311523,10.704867701418959,13.702072,12.649745
Progressive Unfreezing,236,False,5.465441703796387,6.658526250776172,11.809704,9.693624
Progressive Unfreezing,266,False,15.93799114227295,19.96011113137783,26.953638,21.522266
Progressive Unfreezing,294,False,11.0230073928833,14.264227473817314,24.669386,19.063831
Progressive Unfreezing,301,False,3.086508274078369,3.736435070591106,10.58,8.739683
Progressive Unfreezing,313,False,15.633710861206055,20.217937942540964,35.87259,27.738815
Progressive Unfreezing,327,False,47.75407409667969,50.220332407396256,34.86705,33.154774
Progressive Unfreezing,331,False,116.06548309326172,230.32322736211387,133.60051,67.32455
Progressive Unfreezing,356,False,16.484798431396484,16.837902292544676,1666.8302,1631.8756
Progressive Unfreezing,400,True,4.677676200866699,5.244925089720286,23.75436,21.18528
Progressive Unfreezing,468,False,5.241232395172119,7.667180196176723,15.317302,10.470804
Progressive Unfreezing,474,True,8.487295150756836,8.997481523575908,70.55524,66.55453
Progressive Unfreezing,480,False,8.77607250213623,9.231306001755486,53.917057,51.25819
Progressive Unfreezing,503,False,13.923699378967285,14.157651179276261,112.86782,111.00271
Progressive Unfreezing,519,False,679.2716674804688,699.8385304839967,71.99242,69.87671
Progressive Unfreezing,524,False,45.988014221191406,48.01059351688698,33.69702,32.277443
Progressive Unfreezing,539,True,14.002732276916504,14.347472794396143,257.4477,251.26176
Progressive Unfreezing,540,False,88.88749694824219,92.73558997729782,42.503784,40.740074
Progressive Unfreezing,545,False,19.586807250976562,22.499680580414985,25.928806,22.571987
Progressive Unfreezing,548,False,7.949166774749756,8.71854829725804,47.578316,43.379696
Progressive Unfreezing,879,True,101.51041412353516,102.67697184313043,41.952343,41.47571
Progressive Unfreezing,892,False,35.71723556518555,39.165981681731786,29.802334,27.178102
Progressive Unfreezing,901,True,51.542179107666016,53.693402251231014,33.562218,32.217552
Progressive Unfreezing,907,False,9.444055557250977,11.269559345177283,15.969901,13.38301
Progressive Unfreezing,908,False,26.59860610961914,31.512540712674515,29.139158,24.595318
Progressive Unfreezing,936,False,16.365095138549805,16.642653192127675,127.35505,125.23109
Progressive Unfreezing,947,True,8.231341361999512,9.46906786092407,14.225652,12.366179
Progressive Unfreezing,952,False,52.35519790649414,54.696575139868216,34.016163,32.560047
Progressive Unfreezing,1087,True,10.723870277404785,11.796826495140348,48.68116,44.253464
Progressive Unfreezing,1091,False,82.24297332763672,88.68255579946374,42.072186,39.017162
Progressive Unfreezing,1093,True,13.596110343933105,14.686117163958471,63.982887,59.234066
Progressive Unfreezing,1128,False,14.121904373168945,15.345101415473666,18.926413,17.41774
Progressive Unfreezing,1141,False,12.131186485290527,12.779305680925058,59.95686,56.91607
Progressive Unfreezing,1152,False,205.95947265625,208.906126121878,53.500343,52.745712
Progressive Unfreezing,1154,False,138.31138610839844,145.90304063186963,49.153713,46.596134
Progressive Unfreezing,1158,False,99.07855224609375,112.16935786457013,47.906815,42.31582
Progressive Unfreezing,1167,False,21.315631866455078,24.944341117948852,33.79597,28.879595
Progressive Unfreezing,1191,False,243.02748107910156,252.09097440209953,57.41415,55.349922
Progressive Unfreezing,1193,False,20.127975463867188,28.625412584021714,39.26094,27.606354
Progressive Unfreezing,1211,False,11.330153465270996,13.911276742465759,24.688963,20.108126
Progressive Unfreezing,1215,False,17.9984073638916,21.336773515523248,23.430473,19.764524
Progressive Unfreezing,1218,False,136.79505920410156,169.32287597405437,59.479755,48.05338
Progressive Unfreezing,1220,True,194.65087890625,226.85686911023876,62.029034,53.223015
Progressive Unfreezing,1235,False,141.19317626953125,154.22670002305048,52.214306,47.801735
Progressive Unfreezing,1255,False,5.93190860748291,7.958025009280873,19.583794,14.597753
Progressive Unfreezing,1262,False,26.196367263793945,31.950043784814483,32.95898,27.023611
Progressive Unfreezing,1267,False,86.99652862548828,94.36732170751695,44.129265,40.682438
Progressive Unfreezing,1268,False,8.847609519958496,11.537403480729468,27.45504,21.054258
Progressive Unfreezing,1293,False,14.929781913757324,17.362182280322834,20.539684,17.662125
Progressive Unfreezing,1317,False,199.98294067382812,207.60672142599333,54.54767,52.54456
Progressive Unfreezing,1334,False,24.054061889648438,27.328657665263332,26.445679,23.276884
Progressive Unfreezing,1341,False,16.122356414794922,16.52965954807874,141.57489,138.0864
Progressive Unfreezing,1375,True,35.72026824951172,36.87250057736965,29.076103,28.167501
Progressive Unfreezing,1407,False,20.749523162841797,26.34261239017616,28.149658,22.172897
Progressive Unfreezing,1419,False,11.935510635375977,12.205574913127236,125.96009,123.17306
Progressive Unfreezing,1447,False,67.8632583618164,69.99212776604773,37.702557,36.5558
