building_id,mae,rmse,cvrmse,wape,cold_start,Strategy
196,9.788880348205566,11.981126566347095,29.735003,24.29424,False,Local-only
212,274.9100341796875,278.5679197924628,29.931799,29.53876,True,Local-only
216,132.65455627441406,144.7135235776187,99.07256,90.816864,True,Local-only
228,8.501704216003418,9.83710325572865,32.67391,28.238382,False,Local-only
231,2.3512871265411377,3.3156618107254285,4.243998,3.0096128,False,Local-only
236,5.264383792877197,7.590323220508918,13.462358,9.337024,False,Local-only
266,12.292162895202637,16.745080937269403,22.61214,16.599031,False,Local-only
294,44.649658203125,49.75485313169209,86.048935,77.21972,False,Local-only
301,2.756380319595337,3.6595855886846262,10.362395,7.8048997,False,Local-only
313,20.20490837097168,26.51740542600923,47.0497,35.84947,False,Local-only
327,12.90637493133545,16.513265190327857,11.464856,8.960658,False,Local-only
331,155.0664520263672,312.99443385625887,181.55449,89.94732,False,Local-only
356,0.3443188965320587,0.4002175119702118,39.618633,34.085075,False,Local-only
400,4.820043087005615,5.420616685475417,24.55007,21.830061,True,Local-only
468,6.480647087097168,9.022917919970642,18.02576,12.946876,False,Local-only
474,1.883283257484436,2.254051693036695,17.675518,14.768078,True,Local-only
480,5.236081600189209,6.134051116461717,35.827,30.582253,False,Local-only
503,2.498981237411499,3.109442321968668,24.789139,19.922415,False,Local-only
519,154.83595275878906,181.55435652993845,18.676502,15.92798,False,Local-only
524,29.114749908447266,34.31084923169347,24.08163,20.434662,False,Local-only
539,1.8373942375183105,2.267690098878593,40.690903,32.96977,True,Local-only
540,28.64658546447754,36.44771311091582,16.70519,13.129677,False,Local-only
545,31.587196350097656,36.95066885336364,42.582237,36.401333,False,Local-only
548,5.366405963897705,7.264254795613636,39.642036,29.285213,False,Local-only
879,87.97653198242188,129.06788729676333,52.7353,35.945953,True,Local-only
892,44.93828201293945,61.058865520035255,46.46115,34.19462,False,Local-only
901,118.25033569335938,131.14096661608073,81.97249,73.91493,True,Local-only
907,9.208163261413574,11.628647754936875,16.47876,13.048731,False,Local-only
908,19.136737823486328,26.673662158198066,24.66472,17.695444,False,Local-only
936,1.435341477394104,1.7686801236102392,13.534522,10.9837055,False,Local-only
947,36.69333267211914,46.713372391171355,70.17883,55.125446,True,Local-only
952,30.381752014160156,39.495589770607616,24.56257,18.894615,False,Local-only
1087,14.237890243530273,19.082944019238916,78.74828,58.75453,True,Local-only
1091,47.98197555541992,56.159036693516654,26.642597,22.763288,False,Local-only
1093,8.859106063842773,12.825936766204022,55.87865,38.596397,True,Local-only
1128,12.752309799194336,15.725762503714794,19.395914,15.728503,False,Local-only
1141,8.751657485961914,9.906578852733656,46.478848,41.060287,False,Local-only
1152,23.42019271850586,30.992029949813812,7.936982,5.997853,False,Local-only
1154,57.412513732910156,72.35870188361072,24.377138,19.341873,False,Local-only
1158,41.50125503540039,51.66358935308067,22.06519,17.724922,False,Local-only
1167,28.620866775512695,37.931682008579585,51.391937,38.777126,False,Local-only
1191,34.304771423339844,50.176132644010885,11.4277,7.812971,False,Local-only
1193,25.06637954711914,44.244189899282254,60.68274,34.37958,False,Local-only
1211,12.127573013305664,18.60592268302539,33.02076,21.523342,False,Local-only
1215,10.75535774230957,16.078093681638595,17.655779,11.810742,False,Local-only
1218,66.88566589355469,84.30647101312864,29.615185,23.495602,False,Local-only
1220,208.37437438964844,250.76620866107538,68.56652,56.9754,True,Local-only
1235,57.740535736083984,84.62016176623483,28.648626,19.548378,False,Local-only
1255,18.515350341796875,20.539992609217723,50.546585,45.564167,False,Local-only
1262,28.826854705810547,41.00458631217748,42.29945,29.737165,False,Local-only
1267,40.80537414550781,57.8137626551304,27.035618,19.081936,False,Local-only
1268,9.615076065063477,12.742692835626425,30.323214,22.880564,False,Local-only
1293,13.672571182250977,22.277448204099322,26.354507,16.174828,False,Local-only
1317,74.31185913085938,100.80341326066295,26.485613,19.525082,False,Local-only
1334,15.696553230285645,21.072484216732803,20.391642,15.189404,False,Local-only
1341,2.5182292461395264,3.9823105194552895,34.108097,21.568384,False,Local-only
1375,102.20381164550781,109.29069072032165,86.18204,80.59363,True,Local-only
1407,19.60285758972168,26.355601621219087,28.16354,20.94757,False,Local-only
1419,1.8298907279968262,2.312828143782966,23.86811,18.884254,False,Local-only
1447,13.725147247314453,16.514016411433936,8.895582,7.393305,False,Local-only
