model,seed,strategy,overall_mae,warm_mae,cold_mae,overall_cvrmse,overall_wape
PatchTST,42,C. Centralized,0.22908097257216772,0.2282288254549106,0.2324895610411962,37.07707214355469,30.878995895385742
PatchTST,42,2. Personalized-FL,0.3545928415531913,0.26350423499631387,0.7189472677807013,53.96852111816406,49.59645080566406
PatchTST,42,1. FTL,0.47252751390139264,0.4566161547942708,0.5361729503298799,95.1507339477539,85.0860824584961
PatchTST,42,3. Progressive Unfreezing,0.48294418565928937,0.46843863076840836,0.5409664052228133,73.14966583251953,66.7463150024414
PatchTST,42,4. Instance-TL,0.4864938449114561,0.45685072072471183,0.6050663416584333,117.59526062011719,113.71517944335938
PatchTST,42,5. Fed-SimTL,0.49447925662000974,0.4898527106270194,0.512985440591971,62.19471740722656,56.152400970458984
PatchTST,42,6. FedMetaTL,0.4973501104861498,0.478359701577574,0.5733117461204529,80.95165252685547,75.85001373291016
PatchTST,42,0. Local-only,0.5756328007827203,0.26612585751960677,1.8136605738351743,35.94304656982422,27.908727645874023
PatchTST,42,1b. FedAvg (No Pretrain),0.8393492003281912,0.8189942259341478,0.9207690979043642,115.59981536865234,109.25444030761719
