building_id,mae,rmse,cvrmse,wape,cold_start,Strategy
196,26.37785530090332,27.28739840689116,67.72242,65.465096,False,FTL
212,430.72760009765625,432.51398098789826,46.473118,46.281174,True,FTL
216,16.264062881469727,21.22709660144206,14.532319,11.134567,True,FTL
228,31.614662170410156,32.17018648434448,106.85317,105.007996,False,FTL
231,23.389638900756836,24.123683122656534,30.87796,29.938395,False,FTL
236,26.496206283569336,27.28960040086814,48.401417,46.994232,False,FTL
266,22.618247985839844,25.584589659155053,34.548794,30.543121,False,FTL
294,23.28119468688965,25.01849169629961,43.268436,40.26385,False,FTL
301,27.08656120300293,27.587905489487145,78.11725,76.697655,False,FTL
313,19.22276496887207,23.040881106165134,40.88132,34.10686,False,FTL
327,9.290338516235352,12.299686483713975,8.539446,6.4501104,False,FTL
331,97.0073013305664,178.63928498688355,103.620895,56.26973,False,FTL
356,14.803974151611328,16.78921336891264,1662.0104,1465.4861,False,FTL
400,23.943300247192383,24.896768064521822,112.75791,108.43964,True,FTL
468,25.294530868530273,26.376745952652712,52.694805,50.532787,False,FTL
474,17.69195556640625,19.729405735692946,154.71141,138.7344,True,FTL
480,20.712316513061523,21.751640170287303,127.04426,120.97391,False,FTL
503,24.870059967041016,25.762790503198964,205.38649,198.26944,False,FTL
519,466.1852722167969,489.22286907400394,50.326378,47.956497,False,FTL
524,8.27719497680664,10.474032307721947,7.351371,5.809485,False,FTL
539,14.372984886169434,15.768448938738196,282.94534,257.9055,True,FTL
540,28.956737518310547,35.39047668291217,16.220625,13.27183,False,FTL
545,15.221428871154785,17.147477372039578,19.760887,17.541292,False,FTL
548,18.572471618652344,19.623769928110303,107.089615,101.35252,False,FTL
879,31.334381103515625,34.26310267734265,13.999416,12.802781,True,FTL
892,12.599385261535645,16.0355335483931,12.201822,9.587175,False,FTL
901,7.513317108154297,11.215679120315578,7.010602,4.6963615,True,FTL
907,21.19165802001953,22.275137085498134,31.565718,30.030336,False,FTL
908,14.870426177978516,17.075458677953574,15.789412,13.750452,False,FTL
936,27.56222915649414,28.290309538241733,216.48677,210.91525,False,FTL
947,21.653596878051758,22.21250791361705,33.370487,32.53082,True,FTL
952,8.731215476989746,11.206315739402129,6.969282,5.430001,False,FTL
1087,34.39237976074219,34.981845179857224,144.35721,141.9247,True,FTL
1091,22.8233585357666,29.02194751390747,13.768398,10.827704,False,FTL
1093,31.144914627075195,31.704162670918507,138.12526,135.68881,True,FTL
1128,22.791534423828125,23.387006807249698,28.845177,28.110727,False,FTL
1141,33.00657653808594,33.73346853518124,158.26782,154.85745,False,FTL
1152,100.62879180908203,103.88287801052684,26.604149,25.770786,False,FTL
1154,53.791603088378906,63.13622270287873,21.27015,18.122015,False,FTL
1158,32.64894485473633,44.31197108288008,18.92536,13.944157,False,FTL
1167,29.031909942626953,33.59144069097532,45.51154,39.334034,False,FTL
1191,127.67093658447266,137.66159538429736,31.352663,29.077274,False,FTL
1193,30.006153106689453,33.9910284435237,46.620102,41.154682,False,FTL
1211,32.109066009521484,33.89615345064983,60.157013,56.98539,False,FTL
1215,22.023944854736328,23.666324380181404,25.988615,24.185076,False,FTL
1218,64.11566162109375,92.63196351185967,32.539764,22.522554,False,FTL
1220,105.9422607421875,129.7068509659378,35.465492,28.967587,True,FTL
1235,58.892276763916016,72.74363025164128,24.62776,19.938309,False,FTL
1255,32.27643966674805,32.945921080162755,81.076164,79.42864,False,FTL
1262,21.68903350830078,26.167240727762785,26.993565,22.373941,False,FTL
1267,27.665319442749023,38.832247957661586,18.159237,12.937214,False,FTL
1268,33.15842819213867,34.49665971148511,82.09015,78.90562,False,FTL
1293,24.45941162109375,26.298052883231083,31.110933,28.935799,False,FTL
1317,96.82170867919922,106.92947259467336,28.095207,25.439438,False,FTL
1334,16.787099838256836,18.556246645019062,17.956701,16.244715,False,FTL
1341,29.90027618408203,30.519028028057246,261.39246,256.0929,False,FTL
1375,9.073898315429688,10.84470330261182,8.551678,7.155295,True,FTL
1407,20.311132431030273,22.116193322542607,23.633318,21.704432,False,FTL
1419,21.674259185791016,23.1134829322999,238.5284,223.67578,False,FTL
1447,14.314573287963867,18.001736027394692,9.696969,7.7108107,False,FTL
196,6.685179710388184,8.377237505009155,20.790798,16.591415,False,Progressive Unfreezing
212,642.3126220703125,643.9309211786618,69.18962,69.01573,True,Progressive Unfreezing
216,46.633384704589844,54.264617216383506,37.150192,31.925762,True,Progressive Unfreezing
228,10.57078742980957,11.492210071782727,38.17134,35.11084,False,Progressive Unfreezing
231,9.882726669311523,10.704867701418959,13.702072,12.649745,False,Progressive Unfreezing
236,5.465441703796387,6.658526250776172,11.809704,9.693624,False,Progressive Unfreezing
266,15.93799114227295,19.96011113137783,26.953638,21.522266,False,Progressive Unfreezing
294,11.0230073928833,14.264227473817314,24.669386,19.063831,False,Progressive Unfreezing
301,3.086508274078369,3.736435070591106,10.58,8.739683,False,Progressive Unfreezing
313,15.633710861206055,20.217937942540964,35.87259,27.738815,False,Progressive Unfreezing
327,47.75407409667969,50.220332407396256,34.86705,33.154774,False,Progressive Unfreezing
331,116.06548309326172,230.32322736211387,133.60051,67.32455,False,Progressive Unfreezing
356,16.484798431396484,16.837902292544676,1666.8302,1631.8756,False,Progressive Unfreezing
400,4.677676200866699,5.244925089720286,23.75436,21.18528,True,Progressive Unfreezing
468,5.241232395172119,7.667180196176723,15.317302,10.470804,False,Progressive Unfreezing
474,8.487295150756836,8.997481523575908,70.55524,66.55453,True,Progressive Unfreezing
480,8.77607250213623,9.231306001755486,53.917057,51.25819,False,Progressive Unfreezing
503,13.923699378967285,14.157651179276261,112.86782,111.00271,False,Progressive Unfreezing
519,679.2716674804688,699.8385304839967,71.99242,69.87671,False,Progressive Unfreezing
524,45.988014221191406,48.01059351688698,33.69702,32.277443,False,Progressive Unfreezing
539,14.002732276916504,14.347472794396143,257.4477,251.26176,True,Progressive Unfreezing
540,88.88749694824219,92.73558997729782,42.503784,40.740074,False,Progressive Unfreezing
545,19.586807250976562,22.499680580414985,25.928806,22.571987,False,Progressive Unfreezing
548,7.949166774749756,8.71854829725804,47.578316,43.379696,False,Progressive Unfreezing
879,101.51041412353516,102.67697184313043,41.952343,41.47571,True,Progressive Unfreezing
892,35.71723556518555,39.165981681731786,29.802334,27.178102,False,Progressive Unfreezing
901,51.542179107666016,53.693402251231014,33.562218,32.217552,True,Progressive Unfreezing
907,9.444055557250977,11.269559345177283,15.969901,13.38301,False,Progressive Unfreezing
908,26.59860610961914,31.512540712674515,29.139158,24.595318,False,Progressive Unfreezing
936,16.365095138549805,16.642653192127675,127.35505,125.23109,False,Progressive Unfreezing
947,8.231341361999512,9.46906786092407,14.225652,12.366179,True,Progressive Unfreezing
952,52.35519790649414,54.696575139868216,34.016163,32.560047,False,Progressive Unfreezing
1087,10.723870277404785,11.796826495140348,48.68116,44.253464,True,Progressive Unfreezing
1091,82.24297332763672,88.68255579946374,42.072186,39.017162,False,Progressive Unfreezing
1093,13.596110343933105,14.686117163958471,63.982887,59.234066,True,Progressive Unfreezing
1128,14.121904373168945,15.345101415473666,18.926413,17.41774,False,Progressive Unfreezing
1141,12.131186485290527,12.779305680925058,59.95686,56.91607,False,Progressive Unfreezing
1152,205.95947265625,208.906126121878,53.500343,52.745712,False,Progressive Unfreezing
1154,138.31138610839844,145.90304063186963,49.153713,46.596134,False,Progressive Unfreezing
1158,99.07855224609375,112.16935786457013,47.906815,42.31582,False,Progressive Unfreezing
1167,21.315631866455078,24.944341117948852,33.79597,28.879595,False,Progressive Unfreezing
1191,243.02748107910156,252.09097440209953,57.41415,55.349922,False,Progressive Unfreezing
1193,20.127975463867188,28.625412584021714,39.26094,27.606354,False,Progressive Unfreezing
1211,11.330153465270996,13.911276742465759,24.688963,20.108126,False,Progressive Unfreezing
1215,17.9984073638916,21.336773515523248,23.430473,19.764524,False,Progressive Unfreezing
1218,136.79505920410156,169.32287597405437,59.479755,48.05338,False,Progressive Unfreezing
1220,194.65087890625,226.85686911023876,62.029034,53.223015,True,Progressive Unfreezing
1235,141.19317626953125,154.22670002305048,52.214306,47.801735,False,Progressive Unfreezing
1255,5.93190860748291,7.958025009280873,19.583794,14.597753,False,Progressive Unfreezing
1262,26.196367263793945,31.950043784814483,32.95898,27.023611,False,Progressive Unfreezing
1267,86.99652862548828,94.36732170751695,44.129265,40.682438,False,Progressive Unfreezing
1268,8.847609519958496,11.537403480729468,27.45504,21.054258,False,Progressive Unfreezing
1293,14.929781913757324,17.362182280322834,20.539684,17.662125,False,Progressive Unfreezing
1317,199.98294067382812,207.60672142599333,54.54767,52.54456,False,Progressive Unfreezing
1334,24.054061889648438,27.328657665263332,26.445679,23.276884,False,Progressive Unfreezing
1341,16.122356414794922,16.52965954807874,141.57489,138.0864,False,Progressive Unfreezing
1375,35.72026824951172,36.87250057736965,29.076103,28.167501,True,Progressive Unfreezing
1407,20.749523162841797,26.34261239017616,28.149658,22.172897,False,Progressive Unfreezing
1419,11.935510635375977,12.205574913127236,125.96009,123.17306,False,Progressive Unfreezing
1447,67.8632583618164,69.99212776604773,37.702557,36.5558,False,Progressive Unfreezing
196,18.148578643798828,19.61038032781523,48.66944,45.04151,False,Instance-TL
212,555.7250366210938,557.8533633491869,59.94069,59.712006,True,Instance-TL
216,19.595653533935547,23.777548783923777,16.278387,13.415414,True,Instance-TL
228,20.539945602416992,21.164120899005805,70.29657,68.223366,False,Instance-TL
231,5.513092517852783,6.647504478817479,8.508708,7.0566773,False,Instance-TL
236,11.339458465576172,12.457596534877073,22.095057,20.111904,False,Instance-TL
266,13.9756498336792,16.892953773897307,22.811825,18.87237,False,Instance-TL
294,13.668415069580078,16.55533453490143,28.63176,23.638952,False,Instance-TL
301,18.733217239379883,19.113433332089617,54.121143,53.04453,False,Instance-TL
313,17.622154235839844,20.546883168962253,36.456234,31.266903,False,Instance-TL
327,12.121930122375488,15.782311613426002,10.957368,8.416032,False,Instance-TL
331,103.44152069091797,185.60969002519778,107.66413,60.001934,False,Instance-TL
356,26.17409896850586,26.41407405353193,2614.8018,2591.046,False,Instance-TL
400,22.180234909057617,22.394768022143587,101.4263,100.45467,True,Instance-TL
468,14.366761207580566,15.455608665898552,30.876831,28.70156,False,Instance-TL
474,24.52242088317871,24.716321437668597,193.81712,192.29663,True,Instance-TL
480,23.455245971679688,23.82639850302601,139.16225,136.99448,False,Instance-TL
503,24.19368553161621,24.443951703894847,194.87242,192.87723,False,Instance-TL
519,607.352294921875,634.4474958576162,65.26564,62.47836,False,Instance-TL
524,11.679341316223145,13.969441441569993,9.804681,8.197336,False,Instance-TL
539,26.63311767578125,26.93583231496662,483.3303,477.8984,True,Instance-TL
540,32.98027420043945,38.49083729492075,17.641623,15.11595,False,Instance-TL
545,8.12102222442627,10.210452569538957,11.766605,9.358728,False,Instance-TL
548,22.866134643554688,23.45687350332054,128.00739,124.78364,False,Instance-TL
879,49.00563049316406,52.841497678937195,21.590284,20.023003,True,Instance-TL
892,13.012344360351562,15.8832400105401,12.0859375,9.901405,False,Instance-TL
901,13.357489585876465,16.503268756178937,10.315724,8.349387,True,Instance-TL
