building_id,mae,rmse,cvrmse,wape,cold_start
196,0.2126990556716919,0.3201103386603083,23.487589,19.087175,False
212,0.962674617767334,0.9640264717677844,62.16548,61.936314,True
216,0.26096412539482117,0.3022268409328354,27.745605,23.86462,True
228,0.1687897890806198,0.2783493562234211,19.31082,14.819765,False
231,0.12135601788759232,0.13838700463955156,12.665308,11.323754,False
236,0.13731370866298676,0.17452711838977672,15.463318,12.533169,False
266,0.2434977889060974,0.3361064353049283,29.541985,21.47253,False
294,0.2193525731563568,0.2732463713646692,24.195143,19.336462,False
301,0.1831558346748352,0.22727626146202062,19.620804,16.491417,False
313,0.2795453369617462,0.36690234210726813,29.474426,22.082035,False
327,0.24283859133720398,0.25484179755047087,23.41534,21.870796,False
331,0.5705030560493469,0.7190098500114251,107.41422,54.007244,False
356,0.826475203037262,0.8939516613605423,304.58286,269.1396,False
400,0.2692299485206604,0.3382683114975903,27.797049,23.087757,True
468,0.1759459376335144,0.21748673593152418,21.17857,16.62201,False
474,0.3334674537181854,0.4188228152436071,34.875523,28.99164,True
480,0.322854220867157,0.414804747017751,34.262512,27.319237,False
503,0.3234938681125641,0.4100262935569412,33.5182,27.8902,False
519,0.997195303440094,1.013445878607374,66.538445,63.94206,False
524,0.23812837898731232,0.247354946605991,22.879627,21.591175,False
539,0.36998388171195984,0.47390397951391555,49.66815,39.346073,True
540,0.32368946075439453,0.3350719123490302,29.568981,28.033596,False
545,0.18293003737926483,0.2092599477938498,19.577106,16.870638,False
548,0.34895452857017517,0.43780256776074106,35.578125,29.120386,False
879,0.34982308745384216,0.35201333067655666,29.772858,29.549805,True
892,0.218924418091774,0.23956964374214404,22.735786,20.383701,False
901,0.2566556930541992,0.2620253830573084,23.824667,22.899847,True
907,0.15753941237926483,0.18343178727191736,16.846104,14.565537,False
908,0.2015284150838852,0.2301351185205349,22.90006,19.067707,False
936,0.4564942419528961,0.5205241875282463,41.604958,37.57075,False
947,0.15871597826480865,0.18080936465493683,16.116636,14.480403,True
952,0.25756874680519104,0.26528169381217664,24.392515,23.128954,False
1087,0.27190691232681274,0.33204754060162717,33.99046,27.188572,True
1091,0.3136674463748932,0.32320945550972036,29.993061,27.826694,False
1093,0.2867369055747986,0.36224206347225524,35.759907,28.274832,True
1128,0.12490153312683105,0.1420551205185647,13.340918,11.737215,False
1141,0.23733453452587128,0.3036779894849898,33.06859,25.641254,False
1152,0.47923973202705383,0.4819257092048329,38.72387,38.206707,False
1154,0.39899665117263794,0.4043572606495373,35.049603,33.431755,False
1158,0.34106436371803284,0.35832887229064697,33.665123,29.970774,False
1167,0.23308807611465454,0.3012244315990284,28.353775,21.459175,False
1191,0.5207312703132629,0.526656430523223,42.857822,41.1321,False
1193,0.20899660885334015,0.28115419239471257,34.159042,23.051575,False
1211,0.17211377620697021,0.22579253013442452,23.55569,16.844618,False
1215,0.15725411474704742,0.18023122539174172,18.111198,15.057219,False
1218,0.38702261447906494,0.41983176750571566,43.451153,34.94638,False
1220,0.46811801195144653,0.5052186007947496,46.228157,39.859985,True
1235,0.47521018981933594,0.6586055261321596,37.89424,34.508427,False
1255,0.1780504286289215,0.32124523107350955,18.863579,14.888295,False
1262,0.22771526873111725,0.3014809038526356,25.93656,20.43122,False
1267,0.40545645356178284,0.6181484419308979,32.117508,29.240585,False
1268,0.2765558660030365,0.4524017514216421,27.709839,22.095732,False
1293,0.23692093789577484,0.5151985022931809,19.855932,15.9785595,False
1317,0.48453864455223083,0.5693599113533645,39.649776,37.91828,False
1334,0.18877771496772766,0.2019111788959462,19.56563,17.705135,False
1341,0.3286301791667938,0.4230682135190666,48.40671,34.181084,False
1375,0.22082465887069702,0.22766772713200112,20.801466,19.97766,True
1407,0.17693762481212616,0.20448665702504293,21.81311,17.218157,False
1419,0.2876807451248169,0.3535663926569614,34.58538,28.46977,False
1447,0.2928333580493927,0.2986189290743342,26.83498,25.79101,False
