building_id,mae,rmse,cvrmse,wape,cold_start
196,0.2837764620780945,0.4312574835141794,34.234737,26.97337,False
212,0.042972270399332047,0.06027891290867022,5.970664,4.311198,True
216,2.519145965576172,3.342132319654271,84.44168,71.53545,True
228,0.1998668909072876,0.309026607708853,24.150013,19.859097,False
231,0.049286555498838425,0.058739809936867234,5.7885923,5.037981,False
236,0.1306973397731781,0.184335145037177,18.297832,13.256606,False
266,0.23578472435474396,0.2844860483638794,30.313498,23.565924,False
294,0.4301230311393738,0.554107443314743,44.471474,34.791054,False
301,0.07835540175437927,0.08389779829280318,8.625295,8.103525,False
313,1.353983998298645,1.7821279670929837,73.441864,50.751823,False
327,0.0809810534119606,0.10259279478135626,10.359649,8.171302,False
331,1.4405182600021362,1.862918138610809,179.13213,90.64269,False
356,0.1295761615037918,0.1685453321705101,31.563208,24.319063,False
400,0.2352861613035202,0.4918316659900183,25.094429,18.472696,True
468,0.13865689933300018,0.18018700789544173,20.289858,14.926521,False
474,0.29092875123023987,0.5856956491429552,31.904125,23.259523,True
480,0.44516220688819885,0.48197323096007216,40.857563,37.24703,False
503,0.11835087835788727,0.13884008977505616,15.759057,13.712639,False
519,0.05402085930109024,0.07360055669763997,6.7811794,5.1258826,False
524,0.17529015243053436,0.20605821290096413,20.452085,16.953169,False
539,0.5431251525878906,0.6033560038710368,59.904583,52.247787,True
540,0.09946012496948242,0.12216663375112881,12.346789,9.837871,False
545,0.40559065341949463,0.4389716498979184,38.265648,34.441807,False
548,0.41903916001319885,0.4892531830650489,47.23796,37.184288,False
879,0.6063098311424255,1.5487994158899372,36.542286,22.213612,True
892,0.11407005041837692,0.14300188686344775,13.975096,11.545524,False
901,1.7209444046020508,2.75433129892463,62.040745,49.10789,True
907,0.143916055560112,0.2139436332604697,17.200937,14.05229,False
908,0.23235954344272614,0.4259453553492053,26.584759,19.236841,False
936,0.12109100073575974,0.15037503719051912,16.423891,13.298008,False
947,0.8764470815658569,1.664340000565296,49.527,34.34287,True
952,0.18279719352722168,0.5194353861310786,19.3379,11.743862,False
1087,0.41414162516593933,0.4613691830109467,51.93016,43.39627,True
1091,0.1121961921453476,0.14255707729132497,12.927392,10.338622,False
1093,0.37936240434646606,0.44656258512993996,51.635242,39.197548,True
1128,0.11591031402349472,0.13632074735074654,14.365408,11.9591255,False
1141,0.21374501287937164,0.25361850279264364,25.128466,20.67954,False
1152,0.028701409697532654,0.04109964535356356,4.275081,2.911341,False
1154,0.04710433632135391,0.06021729683310448,6.497492,4.7818046,False
1158,0.07480131089687347,0.09619098508326311,8.961907,7.09111,False
1167,0.36841878294944763,0.4602297343724497,44.518677,34.1327,False
1191,0.07721251994371414,0.10708723396573462,11.005701,8.057078,False
1193,0.1512356698513031,0.28364975011173393,31.668806,15.717302,False
1211,0.16648231446743011,0.24056747262849523,26.630014,17.362215,False
1215,0.13925223052501678,0.18480766011784158,20.160597,13.918848,False
1218,0.10461464524269104,0.149138164729772,13.82277,9.65389,False
1220,0.4253183901309967,0.4623267203569467,43.217,38.70944,True
1235,0.18718288838863373,0.6509701778580613,17.144121,10.977224,False
1255,0.6501280069351196,0.739054683458475,52.373974,48.1433,False
1262,0.36661094427108765,0.6294317478632617,42.509644,28.417645,False
1267,0.16890843212604523,0.5401101091500021,15.330367,10.491345,False
1268,0.2972904443740845,0.6494183991939905,32.431526,23.11185,False
1293,0.20264483988285065,0.7516874958868385,20.223639,11.189165,False
1317,0.3856445252895355,0.8066438762608509,30.751408,23.146894,False
1334,0.1921803057193756,0.2644508017997177,25.118946,19.052687,False
1341,0.16381233930587769,0.290645594533715,34.443913,18.765614,False
1375,0.17657750844955444,0.24065299119019673,22.605543,16.610369,True
1407,0.187506303191185,0.23468127901490116,24.298874,18.865509,False
1419,0.16140051186084747,0.20593642506586607,22.248407,17.719854,False
1447,0.07707999646663666,0.09515840373710341,9.25537,7.6039605,False
